Province,City,"Plate Number",Price,Status
Sindh,"Mirpur Khas",WJT-344,1558,Available
Sindh,"Mirpur Khas",WIU-300,3719,Available
Sindh,Dadu,TEV-664,2530,Available
Sindh,Thatta,CUV-221,3601,Available
Sindh,Larkana,SBF-300,3230,Available
Sindh,Hyderabad,RWX-165,2375,Available
Sindh,Sukkur,ODW-651,3291,Available
Sindh,Dadu,SKC-267,2151,Available
Sindh,Karachi,ZMC-794,1429,Available
Sindh,"Mirpur Khas",BJZ-692,3814,Available
Sindh,Sukkur,TNJ-899,1729,Available
Sindh,Larkana,TOC-314,3541,Available
Sindh,"Mirpur Khas",QMU-593,2487,Available
Sindh,"Mirpur Khas",EEM-848,3418,Available
Sindh,"Mirpur Khas",YIB-544,3377,Available
Sindh,Thatta,NHW-194,3237,Available
Sindh,Dadu,IES-934,1599,Available
Sindh,Larkana,YTU-547,2440,Available
Sindh,"Mirpur Khas",FUZ-731,2903,Available
Sindh,Larkana,AEE-549,2778,Available
Sindh,Thatta,AWL-915,3033,Available
Sindh,Hyderabad,NJR-748,3631,Available
Sindh,Nawabshah,ZKD-129,3762,Available
Sindh,Karachi,QNJ-802,1847,Available
Sindh,Khairpur,XCG-942,1029,Available
Sindh,Karachi,OZJ-444,2258,Available
Sindh,Hyderabad,WDG-312,3183,Available
Sindh,"Mirpur Khas",QXG-562,2604,Available
Sindh,Khairpur,RMJ-761,1636,Available
Sindh,Nawabshah,COL-600,2463,Available
Sindh,Larkana,GNI-707,3362,Available
Sindh,Hyderabad,HKU-541,3653,Available
Sindh,Larkana,VXE-652,2809,Available
Sindh,Larkana,UAR-297,2468,Available
Sindh,Karachi,FXN-249,2235,Available
Sindh,Hyderabad,ZMU-896,2594,Available
Sindh,Sukkur,CFZ-791,1853,Available
Sindh,Hyderabad,CFB-860,2364,Available
Sindh,Khairpur,FJO-335,3181,Available
Sindh,Khairpur,LOL-101,2938,Available
Sindh,Karachi,AVV-228,3777,Available
Sindh,"Mirpur Khas",FEG-170,3872,Available
Sindh,"Mirpur Khas",WGX-649,3185,Available
Sindh,Nawabshah,MZF-744,1384,Available
Sindh,Sukkur,MRY-524,1764,Available
Sindh,Hyderabad,TWP-187,1710,Available
Sindh,Thatta,NAO-980,3751,Available
Sindh,Larkana,MAB-206,1017,Available
Sindh,Karachi,YYJ-655,2059,Available
Sindh,Hyderabad,KDS-363,3287,Available
Sindh,Khairpur,NKS-603,3250,Available
Sindh,Hyderabad,RCF-360,3374,Available
Sindh,Karachi,EDI-531,1718,Available
Sindh,Khairpur,RPN-200,3526,Available
Sindh,Karachi,SOZ-829,2607,Available
Sindh,"Mirpur Khas",HWZ-511,2440,Available
Sindh,"Mirpur Khas",FFY-866,1016,Available
Sindh,Sukkur,UBY-190,2562,Available
Sindh,Hyderabad,JGZ-595,2156,Available
Sindh,Thatta,HOZ-613,2813,Available
Sindh,"Mirpur Khas",XCT-265,1455,Available
Sindh,Sukkur,SYL-713,1449,Available
Sindh,Dadu,CQI-588,2777,Available
Sindh,Nawabshah,XUN-376,2651,Available
Sindh,Hyderabad,QED-142,3321,Available
Sindh,Sukkur,SLS-220,1049,Available
Sindh,Sukkur,ZVF-408,1479,Available
Sindh,Karachi,VVU-154,2232,Available
Sindh,Khairpur,XCO-804,3928,Available
Sindh,Larkana,LCQ-152,3469,Available
Sindh,Dadu,LNZ-691,1502,Available
Sindh,Nawabshah,KHJ-977,1776,Available
Sindh,Karachi,EVP-658,3427,Available
Sindh,Karachi,PDQ-927,2160,Available
Sindh,Sukkur,HBL-790,1151,Available
Sindh,Hyderabad,IIN-823,2469,Available
Sindh,Hyderabad,FBE-849,3281,Available
Sindh,Hyderabad,HUX-385,2141,Available
Sindh,Karachi,PWB-218,2004,Available
Sindh,Nawabshah,TRF-937,3056,Available
Sindh,Nawabshah,EYS-185,3403,Available
Sindh,Larkana,ENK-511,1973,Available
Sindh,Dadu,YPN-431,1197,Available
Sindh,Khairpur,ZTL-153,1334,Available
Sindh,Khairpur,RRM-728,1447,Available
Sindh,"Mirpur Khas",IIS-410,1526,Available
Sindh,"Mirpur Khas",KDY-900,3877,Available
Sindh,"Mirpur Khas",QBI-391,3648,Available
Sindh,"Mirpur Khas",UAE-708,2249,Available
Sindh,Khairpur,JCU-478,2574,Available
Sindh,Larkana,FKP-647,1282,Available
Sindh,Hyderabad,IWI-529,1748,Available
Sindh,Nawabshah,HXT-438,3258,Available
Sindh,Dadu,MPA-483,1473,Available
Sindh,"Mirpur Khas",WGZ-389,2634,Available
Sindh,Dadu,OFX-443,2497,Available
Sindh,Hyderabad,MQL-270,2073,Available
Sindh,Thatta,RQH-306,2827,Available
Sindh,Nawabshah,WOD-925,2410,Available
Sindh,"Mirpur Khas",KRW-791,2001,Available
Sindh,"Mirpur Khas",PWH-628,3017,Available
Sindh,"Mirpur Khas",SDA-587,3051,Available
Sindh,Hyderabad,AMC-914,2487,Available
Sindh,Sukkur,LHS-286,1422,Available
Sindh,Karachi,MSQ-744,3562,Available
Sindh,Thatta,IJF-769,1160,Available
Sindh,Hyderabad,WGI-886,2336,Available
Sindh,Dadu,GFR-545,1520,Available
Sindh,Karachi,FSI-536,3546,Available
Sindh,Sukkur,SRM-858,2744,Available
Sindh,Khairpur,ELF-719,1721,Available
Sindh,Sukkur,XAY-284,2701,Available
Sindh,Thatta,QPZ-840,2722,Available
Sindh,Karachi,GRA-356,3994,Available
Sindh,"Mirpur Khas",XJO-860,1427,Available
Sindh,Thatta,QHZ-708,2477,Available
Sindh,Dadu,FYM-627,1771,Available
Sindh,Larkana,XVL-997,3168,Available
Sindh,Nawabshah,MLO-776,3538,Available
Sindh,Khairpur,BJP-500,3903,Available
Sindh,Sukkur,LGU-633,2932,Available
Sindh,Nawabshah,NYH-584,1346,Available
Sindh,Thatta,BSJ-883,3188,Available
Sindh,Nawabshah,UYZ-787,2643,Available
Sindh,Hyderabad,KAM-255,2233,Available
Sindh,Thatta,HOE-298,2793,Available
Sindh,Larkana,HRQ-292,2950,Available
Sindh,Larkana,BHR-235,1478,Available
Sindh,Khairpur,NXY-486,2101,Available
Sindh,Karachi,UVA-187,1533,Available
Sindh,Sukkur,OAZ-645,3162,Available
Sindh,Larkana,XKQ-154,1655,Available
Sindh,Karachi,QBZ-923,1744,Available
Sindh,Hyderabad,UXB-859,2866,Available
Sindh,Dadu,WHQ-663,2605,Available
Sindh,Larkana,YQV-138,1400,Available
Sindh,Khairpur,MOP-869,2218,Available
Sindh,Sukkur,NHL-687,3939,Available
Sindh,Thatta,XLE-129,1816,Available
Sindh,Sukkur,DXR-867,1715,Available
Sindh,"Mirpur Khas",LEZ-291,1379,Available
Sindh,Thatta,XMX-368,1755,Available
Sindh,"Mirpur Khas",SYL-388,2969,Available
Sindh,Dadu,SDV-384,3520,Available
Sindh,Sukkur,CCA-889,3302,Available
Sindh,"Mirpur Khas",BZU-164,3516,Available
Sindh,"Mirpur Khas",VYM-194,1663,Available
Sindh,Nawabshah,NNH-146,3221,Available
Sindh,"Mirpur Khas",LPJ-472,1586,Available
Sindh,Nawabshah,EDS-976,1281,Available
Sindh,Dadu,WMQ-651,3740,Available
Sindh,Hyderabad,KEL-516,1593,Available
Sindh,Khairpur,HII-679,2159,Available
Sindh,Nawabshah,WDY-838,1953,Available
Sindh,Thatta,TNV-155,2214,Available
Sindh,Karachi,RZQ-242,2518,Available
Sindh,Hyderabad,JEF-527,2109,Available
Sindh,Larkana,MDY-852,3154,Available
Sindh,Karachi,DLB-470,3684,Available
Sindh,Thatta,LTS-665,2586,Available
Sindh,Larkana,AWF-444,1696,Available
Sindh,Larkana,QHX-616,2696,Available
Sindh,Khairpur,PBS-599,2100,Available
Sindh,Sukkur,ZNG-507,3386,Available
Sindh,Khairpur,JJA-648,2567,Available
Sindh,Thatta,HHN-990,3347,Available
Sindh,Hyderabad,PXH-575,1332,Available
Sindh,Karachi,JJD-437,1739,Available
Sindh,Khairpur,URB-391,2400,Available
Sindh,Khairpur,QLK-280,1342,Available
Sindh,Dadu,OKB-163,3449,Available
Sindh,Dadu,OGZ-330,3333,Available
Sindh,Dadu,RBW-425,1584,Available
Sindh,Nawabshah,QGV-263,3718,Available
Sindh,Thatta,FQL-926,3722,Available
Sindh,Dadu,IYQ-382,1950,Available
Sindh,Karachi,PEO-110,2925,Available
Sindh,Nawabshah,PKV-713,1648,Available
Sindh,Nawabshah,JEQ-327,1719,Available
Sindh,Hyderabad,TFK-935,3165,Available
Sindh,Khairpur,WSE-493,1097,Available
Sindh,Khairpur,IHZ-848,2785,Available
Sindh,Nawabshah,DKN-347,2098,Available
Sindh,Sukkur,ZJN-999,3058,Available
Sindh,"Mirpur Khas",AXE-722,2890,Available
Sindh,"Mirpur Khas",QQI-568,2326,Available
Sindh,Larkana,MUE-540,3558,Available
Sindh,Thatta,HFO-419,1521,Available
Sindh,Hyderabad,FUZ-124,3245,Available
Sindh,Larkana,AXN-162,3727,Available
Sindh,Nawabshah,SKI-953,2682,Available
Sindh,Khairpur,ZMX-569,2917,Available
Sindh,Hyderabad,ODN-462,1097,Available
Sindh,Dadu,OEA-814,3852,Available
Sindh,Nawabshah,YTK-192,2745,Available
Sindh,Karachi,OXO-360,3303,Available
Sindh,Karachi,NXX-611,3402,Available
Sindh,Karachi,IJT-209,3746,Available
Sindh,Khairpur,HXD-830,2651,Available
Sindh,Sukkur,QGP-583,1258,Available
Sindh,Larkana,ONC-514,3600,Available
Sindh,Dadu,EBE-179,3991,Available
Sindh,Karachi,NQV-856,1782,Available
Sindh,Thatta,QQU-224,2034,Available
Sindh,"Mirpur Khas",ZHX-764,3922,Available
Sindh,"Mirpur Khas",ENL-333,3716,Available
Sindh,Nawabshah,IAZ-669,3641,Available
Sindh,Nawabshah,BWO-105,2522,Available
Sindh,Thatta,QQA-516,3159,Available
Sindh,Hyderabad,GUH-954,2445,Available
Sindh,Nawabshah,HDA-536,1513,Available
Sindh,Thatta,HHH-512,3261,Available
Sindh,Karachi,KCU-883,3122,Available
Sindh,Karachi,PDX-473,2677,Available
Sindh,Hyderabad,PPQ-274,1575,Available
Sindh,Khairpur,MPZ-490,1000,Available
Sindh,Sukkur,ZAG-154,3174,Available
Sindh,Thatta,JHQ-350,2458,Available
Sindh,Larkana,SEJ-673,1015,Available
Sindh,Karachi,QSE-568,3026,Available
Sindh,Karachi,GYZ-486,2000,Available
Sindh,Hyderabad,SJO-574,1023,Available
Sindh,"Mirpur Khas",MHP-707,1939,Available
Sindh,Karachi,ROG-551,3484,Available
Sindh,"Mirpur Khas",YIG-564,2448,Available
Sindh,"Mirpur Khas",ZCH-353,3472,Available
Sindh,Hyderabad,KVU-557,1003,Available
Sindh,Thatta,COD-273,1110,Available
Sindh,Larkana,TUA-175,2966,Available
Sindh,Nawabshah,AOO-564,3212,Available
Sindh,Karachi,RJM-761,3509,Available
Sindh,Dadu,QKG-239,2414,Available
Sindh,Karachi,XTK-515,1596,Available
Sindh,"Mirpur Khas",WDH-558,2009,Available
Sindh,Dadu,OUZ-959,2468,Available
Sindh,Nawabshah,OBG-627,3820,Available
Sindh,Khairpur,VBG-548,3313,Available
Sindh,Karachi,JZO-985,3478,Available
Sindh,Nawabshah,WVA-927,3735,Available
Sindh,Hyderabad,UUQ-621,3002,Available
Sindh,Thatta,YUQ-642,3477,Available
Sindh,Thatta,NJN-673,3444,Available
Sindh,Khairpur,TJW-326,3807,Available
Sindh,Karachi,EQK-108,1508,Available
Sindh,Khairpur,HJI-286,1043,Available
Sindh,"Mirpur Khas",JDM-886,3092,Available
Sindh,Larkana,VBO-982,3987,Available
Sindh,"Mirpur Khas",IWH-902,2109,Available
Sindh,Larkana,VPP-624,3010,Available
Sindh,Sukkur,VFI-371,1476,Available
Sindh,"Mirpur Khas",NUI-840,1549,Available
Sindh,Hyderabad,KMM-585,2015,Available
Sindh,Khairpur,UII-783,2627,Available
Sindh,Larkana,NMA-230,2672,Available
Sindh,Thatta,WJL-525,1976,Available
Sindh,"Mirpur Khas",LLA-311,3298,Available
Sindh,"Mirpur Khas",MSX-769,2420,Available
Sindh,Thatta,WQC-965,1087,Available
Sindh,Karachi,KZK-835,3651,Available
Sindh,Larkana,KPO-415,1121,Available
Sindh,"Mirpur Khas",PCO-874,1193,Available
Sindh,Nawabshah,BOI-513,2916,Available
Sindh,Hyderabad,KCI-188,2379,Available
Sindh,Karachi,WYH-123,3899,Available
Sindh,Hyderabad,VVI-997,2967,Available
Sindh,Dadu,YLR-736,3465,Available
Sindh,Sukkur,LPS-956,1708,Available
Sindh,Larkana,TLH-716,2490,Available
Sindh,Karachi,RDV-391,2606,Available
Sindh,Hyderabad,GTF-297,2691,Available
Sindh,Dadu,MJR-224,3353,Available
Sindh,Karachi,KRZ-745,3022,Available
Sindh,Sukkur,TRI-598,2669,Available
Sindh,Nawabshah,PBI-689,1324,Available
Sindh,Thatta,BOY-806,1108,Available
Sindh,Nawabshah,WZK-228,3106,Available
Sindh,Karachi,GUZ-852,1950,Available
Sindh,Karachi,IIV-873,3505,Available
Sindh,Nawabshah,YAR-881,3204,Available
Sindh,Larkana,QLA-388,2198,Available
Sindh,Sukkur,GOZ-615,3267,Available
Sindh,Hyderabad,NNJ-502,3430,Available
Sindh,Larkana,FMA-919,2725,Available
Sindh,Nawabshah,WSJ-518,1461,Available
Sindh,Hyderabad,URY-803,3306,Available
Sindh,Hyderabad,SQV-547,1149,Available
Sindh,Sukkur,QGP-118,3721,Available
Sindh,Larkana,CVT-500,1050,Available
Sindh,Thatta,DCP-391,2980,Available
Sindh,Karachi,YWW-955,3591,Available
Sindh,Nawabshah,HOX-130,2162,Available
Sindh,Hyderabad,IVH-278,3843,Available
Sindh,Larkana,YQE-108,3766,Available
Sindh,Thatta,CJB-270,2412,Available
Sindh,Hyderabad,QEM-257,2767,Available
Sindh,Hyderabad,AEG-837,1282,Available
Sindh,Larkana,CIP-908,2971,Available
Sindh,Hyderabad,OML-183,1969,Available
Sindh,Sukkur,RGW-770,1035,Available
Sindh,Thatta,BEX-561,2580,Available
Sindh,Khairpur,IGU-143,3454,Available
Sindh,Hyderabad,OHF-268,3100,Available
Sindh,Larkana,VGA-980,3097,Available
Sindh,Larkana,GHD-188,1991,Available
Sindh,Nawabshah,OUZ-995,3100,Available
Sindh,Larkana,QMF-722,2803,Available
Sindh,Larkana,XBT-979,2517,Available
Sindh,Sukkur,FMC-383,1135,Available
Sindh,Karachi,GWC-817,1123,Available
Sindh,Dadu,DAB-832,1965,Available
Sindh,Thatta,VGG-463,2856,Available
Sindh,Sukkur,IML-846,2983,Available
Sindh,Karachi,MTF-322,3545,Available
Sindh,Hyderabad,DDL-812,1604,Available
Sindh,Hyderabad,ZPT-763,1043,Available
Sindh,Sukkur,LYD-477,1598,Available
Sindh,Dadu,SCF-850,3569,Available
Sindh,Dadu,SIP-609,1069,Available
Sindh,Nawabshah,EHN-123,1694,Available
Sindh,Sukkur,LPH-969,3484,Available
Sindh,Sukkur,EOS-305,1664,Available
Sindh,"Mirpur Khas",KGI-798,3936,Available
Sindh,Dadu,MMN-139,3808,Available
Sindh,Sukkur,ZUZ-965,2657,Available
Sindh,Khairpur,PRR-461,3419,Available
Sindh,Sukkur,BYX-105,2315,Available
Sindh,Khairpur,EGD-928,2397,Available
Sindh,Sukkur,PJD-663,2975,Available
Sindh,Sukkur,IQS-963,3161,Available
Sindh,Dadu,BYT-482,1248,Available
Sindh,Khairpur,III-978,1022,Available
Sindh,Nawabshah,GLE-843,1931,Available
Sindh,Sukkur,KKE-555,1813,Available
Sindh,Larkana,ZOQ-937,1264,Available
