Province,City,"Plate Number",Price,Status
Sindh,Nawabshah,GHH-988,3234,Available
Sindh,"Mirpur Khas",SLB-415,2249,Available
Sindh,Dadu,EHV-570,3877,Available
Sindh,Sukkur,DUB-722,3481,Available
Sindh,Dadu,NTF-703,1131,Available
Sindh,Thatta,YCE-847,1216,Available
Sindh,Hyderabad,WHD-568,2046,Available
Sindh,Sukkur,TPY-487,1711,Available
Sindh,Sukkur,OAJ-441,2056,Available
Sindh,Nawabshah,UEE-859,3993,Available
Sindh,Nawabshah,HBP-848,1678,Available
Sindh,Thatta,GPD-476,1472,Available
Sindh,"Mirpur Khas",EZZ-429,3792,Available
Sindh,Sukkur,VAV-294,1019,Available
Sindh,Thatta,QQL-620,2279,Available
Sindh,Karachi,VAZ-163,1064,Available
Sindh,Larkana,NLE-846,1379,Available
Sindh,Hyderabad,XIQ-478,3419,Available
Sindh,Sukkur,STQ-731,2066,Available
Sindh,Sukkur,UAN-518,2613,Available
Sindh,Khairpur,NSS-555,3653,Available
Sindh,"Mirpur Khas",QWF-247,1104,Available
Sindh,Khairpur,ETU-425,1652,Available
Sindh,Sukkur,IPI-392,1748,Available
Sindh,Hyderabad,NMG-945,2132,Available
Sindh,Dadu,LOY-429,3088,Available
Sindh,Thatta,UCD-137,3932,Available
Sindh,Khairpur,QOW-253,1421,Available
Sindh,Thatta,IBB-880,1124,Available
Sindh,Thatta,HNA-702,3645,Available
Sindh,Khairpur,YOG-684,3184,Available
Sindh,Dadu,EEV-602,1873,Available
Sindh,Nawabshah,MIX-161,2273,Available
Sindh,Sukkur,XWC-420,2651,Available
Sindh,Thatta,LOV-455,2673,Available
Sindh,Dadu,JOY-755,2201,Available
Sindh,Hyderabad,ZVL-275,1997,Available
Sindh,Khairpur,LVW-749,2171,Available
Sindh,Dadu,FEL-556,1346,Available
Sindh,Nawabshah,RQR-859,1686,Available
Sindh,Karachi,EBD-583,3151,Available
Sindh,Thatta,PGI-963,3122,Available
Sindh,Khairpur,SOO-422,1947,Available
Sindh,Dadu,COE-144,1049,Available
Sindh,Hyderabad,OVU-375,3077,Available
Sindh,Thatta,JCO-849,1384,Available
Sindh,Dadu,ZJD-599,2084,Available
Sindh,Dadu,OGR-918,2056,Available
Sindh,Thatta,RWT-137,1467,Available
Sindh,"Mirpur Khas",GXS-131,3846,Available
Sindh,Hyderabad,WOS-366,1102,Available
Sindh,Karachi,LLR-784,3113,Available
Sindh,Larkana,AMY-305,3917,Available
Sindh,Thatta,LJE-164,2794,Available
Sindh,Khairpur,DXJ-800,2589,Available
Sindh,Larkana,MGH-199,2915,Available
Sindh,Dadu,RKA-467,1587,Available
Sindh,Karachi,RTK-220,2222,Available
Sindh,Khairpur,SYP-809,2481,Available
Sindh,Dadu,XTT-200,1754,Available
Sindh,Nawabshah,RKN-703,3079,Available
