Province,City,"Plate Number",Price,Status
Sindh,Sukkur,EIN-274,1498,Available
Sindh,Hyderabad,CND-172,2486,Available
Sindh,Thatta,EOF-232,2232,Available
Sindh,Hyderabad,XXD-855,3972,Available
Sindh,"Mirpur Khas",EVM-452,3088,Available
Sindh,Karachi,ZKJ-808,1960,Available
Sindh,Khairpur,QHD-261,1268,Available
Sindh,Larkana,QDP-189,3269,Available
Sindh,Larkana,SQR-152,2628,Available
Sindh,Khairpur,YEY-678,3936,Available
Sindh,Larkana,MDS-930,1615,Available
Sindh,Larkana,OJK-785,2340,Available
Sindh,Nawabshah,APJ-971,3949,Available
Sindh,Nawabshah,UQU-946,1685,Available
Sindh,Khairpur,KGH-371,3312,Available
Sindh,"Mirpur Khas",QWL-420,3009,Available
Sindh,Larkana,BHO-607,2880,Available
Sindh,Nawabshah,XGQ-714,3742,Available
Sindh,Khairpur,JBK-583,1495,Available
Sindh,Karachi,URO-830,2363,Available
Sindh,"Mirpur Khas",ADJ-393,1402,Available
Sindh,Hyderabad,SSJ-734,2851,Available
Sindh,"Mirpur Khas",JOT-475,3808,Available
Sindh,Karachi,IVS-595,2043,Available
Sindh,Sukkur,RAP-454,3756,Available
Sindh,"Mirpur Khas",KEQ-158,3160,Available
Sindh,Larkana,TOV-306,1555,Available
Sindh,Karachi,TAD-736,2423,Available
Sindh,Sukkur,FJS-384,3332,Available
Sindh,Sukkur,NUN-462,3916,Available
Sindh,Nawabshah,MWU-719,3134,Available
Sindh,Karachi,HLK-683,3641,Available
Sindh,Sukkur,AMA-730,1441,Available
Sindh,Khairpur,WHM-869,2778,Available
Sindh,Karachi,QBH-346,1878,Available
Sindh,Nawabshah,IOV-537,3080,Available
Sindh,Nawabshah,ROT-341,2280,Available
Sindh,Karachi,CCA-360,3207,Available
Sindh,Hyderabad,ESF-358,1240,Available
Sindh,Hyderabad,NBW-453,1840,Available
Sindh,Hyderabad,MNG-245,3738,Available
Sindh,Thatta,YEW-268,1283,Available
Sindh,"Mirpur Khas",ZJY-299,3632,Available
Sindh,"Mirpur Khas",JEN-727,1808,Available
Sindh,Hyderabad,CNO-461,1722,Available
Sindh,Larkana,YXL-814,2016,Available
