Province,City,"Plate Number",Price,Status
KPK,Charsadda,AHS-231,2301,Available
KPK,Peshawar,DRK-658,1442,Available
KPK,Swat,ISQ-619,1325,Available
KPK,Kohat,ETG-659,3285,Available
KPK,Kohat,SBO-739,3365,Available
KPK,Haripur,FHD-413,1107,Available
KPK,Mardan,NGB-584,2979,Available
KPK,Charsadda,DEN-308,1057,Available
KPK,Charsadda,QKS-149,3472,Available
KPK,Peshawar,DLL-439,3075,Available
KPK,Swat,KAP-973,3068,Available
KPK,Charsadda,QNB-308,1501,Available
KPK,Bannu,IEN-991,3508,Available
KPK,"Dera Ismail Khan",OTR-572,1047,Available
KPK,Haripur,JIJ-316,2198,Available
KPK,Mardan,HTF-621,2057,Available
KPK,Haripur,ETO-511,1110,Available
KPK,Peshawar,TIC-608,1582,Available
KPK,Kohat,LCF-863,3073,Available
KPK,Kohat,PAS-112,2046,Available
KPK,Abbottabad,OCI-244,1881,Available
KPK,Kohat,TFT-994,2414,Available
KPK,Haripur,FBF-202,2048,Available
KPK,Charsadda,NRE-242,2451,Available
KPK,Kohat,TJT-819,3117,Available
KPK,Charsadda,DMK-576,1962,Available
KPK,"Dera Ismail Khan",RQS-359,1096,Available
KPK,Peshawar,AGM-372,2581,Available
KPK,Kohat,TKA-263,3804,Available
KPK,Haripur,TFP-677,2779,Available
KPK,Charsadda,GNQ-646,3949,Available
KPK,Haripur,QIS-510,3583,Available
KPK,Abbottabad,BKG-771,3619,Available
KPK,"Dera Ismail Khan",IRC-992,2201,Available
KPK,Bannu,JGM-837,1374,Available
KPK,Kohat,NKG-952,1718,Available
KPK,Bannu,HFC-250,1309,Available
KPK,Haripur,MTR-953,1882,Available
KPK,Peshawar,FLF-156,1026,Available
KPK,Abbottabad,FDT-932,1899,Available
KPK,"Dera Ismail Khan",TFG-996,3317,Available
KPK,Peshawar,PTD-256,3504,Available
KPK,Swat,GIH-723,2259,Available
KPK,Mardan,HHF-738,1929,Available
KPK,Peshawar,JQP-268,3324,Available
KPK,Charsadda,OOQ-267,3061,Available
KPK,Swat,TMO-905,1934,Available
KPK,Kohat,DJL-779,1319,Available
KPK,Bannu,JRM-658,3831,Available
KPK,Mardan,PFM-591,2686,Available
KPK,Bannu,IOR-638,2911,Available
KPK,Mardan,FTE-147,2141,Available
KPK,"Dera Ismail Khan",GSQ-748,1195,Available
KPK,"Dera Ismail Khan",DAD-877,3469,Available
KPK,Bannu,GFQ-883,2711,Available
KPK,Swat,MSM-458,2451,Available
KPK,Bannu,RJB-504,2914,Available
KPK,Swat,DGL-735,3171,Available
KPK,Bannu,DGO-786,2449,Available
KPK,Mardan,DCM-449,2142,Available
KPK,"Dera Ismail Khan",CCB-833,1375,Available
KPK,Peshawar,GHA-587,1798,Available
KPK,"Dera Ismail Khan",KHI-155,2959,Available
KPK,Charsadda,SFE-453,1239,Available
