Province,City,"Plate Number",Price,Status
Balochistan,Quetta,NPT-318,2153,Available
Balochistan,Khuzdar,MTC-364,2108,Available
Balochistan,Khuzdar,IOH-461,3959,Available
Balochistan,Khuzdar,STA-147,1427,Available
Balochistan,Hub,HIK-940,2857,Available
Balochistan,Gwadar,KSP-119,1396,Available
Balochistan,Gwadar,POQ-376,2630,Available
Balochistan,Khuzdar,GAN-592,1222,Available
Balochistan,Khuzdar,ONQ-412,1998,Available
Balochistan,Sibi,JSJ-503,2330,Available
Balochistan,Turbat,DIH-704,3586,Available
Balochistan,Khuzdar,EAO-177,3374,Available
Balochistan,Zhob,SHE-216,3788,Available
Balochistan,Jacobabad,DLQ-211,1645,Available
Balochistan,Loralai,QTA-130,3540,Available
Balochistan,Hub,NGA-557,1004,Available
Balochistan,Quetta,MBP-540,2998,Available
Balochistan,Sibi,APL-363,2818,Available
Balochistan,Jacobabad,OHS-974,3009,Available
Balochistan,Hub,TQF-241,1994,Available
Balochistan,Turbat,ERI-863,1451,Available
Balochistan,Jacobabad,GPO-174,1041,Available
Balochistan,Jacobabad,AGA-987,1123,Available
Balochistan,Loralai,TGI-449,3382,Available
Balochistan,Khuzdar,BOD-491,1645,Available
Balochistan,Turbat,KOH-346,3777,Available
Balochistan,Khuzdar,OCO-913,1033,Available
Balochistan,Loralai,AKM-784,2972,Available
Balochistan,Loralai,IBF-539,2628,Available
Balochistan,Zhob,SBE-729,1821,Available
Balochistan,Quetta,ILM-686,1941,Available
Balochistan,Loralai,ADO-523,1679,Available
Balochistan,Zhob,QCP-992,2176,Available
Balochistan,Hub,RAR-427,3884,Available
Balochistan,Khuzdar,MRR-980,1056,Available
Balochistan,Khuzdar,FDJ-176,3804,Available
Balochistan,Hub,MCE-611,3334,Available
Balochistan,Khuzdar,GHN-710,2814,Available
Balochistan,Gwadar,EST-335,2020,Available
Balochistan,Jacobabad,OTL-789,1220,Available
Balochistan,Hub,OQM-968,2451,Available
Balochistan,Sibi,PGD-194,3787,Available
Balochistan,Turbat,CMC-422,2065,Available
Balochistan,Hub,QSE-486,4000,Available
Balochistan,Hub,EMQ-971,1598,Available
Balochistan,Jacobabad,MDG-667,3750,Available
Balochistan,Quetta,COD-354,2165,Available
Balochistan,Jacobabad,RIC-592,1565,Available
Balochistan,Khuzdar,BJF-795,1663,Available
Balochistan,Khuzdar,NKG-208,2816,Available
Balochistan,Hub,CLE-584,1834,Available
Balochistan,Quetta,AHS-206,3668,Available
Balochistan,Khuzdar,GME-288,1902,Available
Balochistan,Turbat,TBR-871,3010,Available
Balochistan,Loralai,PTT-493,2918,Available
Balochistan,Quetta,OOL-395,2250,Available
Balochistan,Quetta,ICD-357,3695,Available
Balochistan,Jacobabad,HTJ-629,3480,Available
Balochistan,Khuzdar,FKM-484,2132,Available
Balochistan,Jacobabad,MEC-778,1466,Available
Balochistan,Hub,FPE-282,1656,Available
Balochistan,Quetta,FOD-439,3351,Available
Balochistan,Hub,DME-362,2885,Available
Balochistan,Gwadar,QLN-598,1541,Available
Balochistan,Khuzdar,JHT-746,2406,Available
Balochistan,Sibi,OBE-984,2219,Available
Balochistan,Quetta,CGE-674,1122,Available
Balochistan,Jacobabad,CED-688,3144,Available
Balochistan,Jacobabad,CDE-892,1979,Available
Balochistan,Quetta,SJC-285,3285,Available
Balochistan,Sibi,BKK-489,2484,Available
Balochistan,Zhob,AMN-466,1746,Available
Balochistan,Khuzdar,IBB-932,1174,Available
Balochistan,Sibi,NNT-657,2384,Available
Balochistan,Jacobabad,SIO-797,1639,Available
Balochistan,Khuzdar,PSJ-233,1613,Available
Balochistan,Khuzdar,GLE-263,2653,Available
Balochistan,Jacobabad,RQR-217,3303,Available
Balochistan,Zhob,HLL-229,1369,Available
Balochistan,Turbat,SHJ-740,3755,Available
Balochistan,Khuzdar,PQN-513,1153,Available
Balochistan,Khuzdar,EMN-689,3986,Available
Balochistan,Gwadar,HNL-701,1721,Available
Balochistan,Zhob,SJT-127,2545,Available
Balochistan,Loralai,EBI-914,3875,Available
Balochistan,Turbat,CHO-157,2343,Available
Balochistan,Khuzdar,TJT-540,1103,Available
Balochistan,Zhob,NJR-740,1997,Available
Balochistan,Hub,INM-959,1194,Available
Balochistan,Jacobabad,EHT-949,3000,Available
Balochistan,Jacobabad,HOS-612,2119,Available
Balochistan,Hub,GIJ-964,1445,Available
Balochistan,Turbat,GIR-901,2866,Available
Balochistan,Loralai,DDC-126,2558,Available
Balochistan,Jacobabad,ATA-493,1840,Available
Balochistan,Hub,JLF-325,3733,Available
Balochistan,Loralai,BEL-608,1367,Available
Balochistan,Turbat,HKJ-932,3894,Available
Balochistan,Jacobabad,GIM-302,3294,Available
Balochistan,Zhob,SDM-475,1056,Available
Balochistan,Quetta,GCG-238,2832,Available
Balochistan,Zhob,ONF-583,1637,Available
Balochistan,Sibi,NHO-800,3597,Available
Balochistan,Khuzdar,EPM-774,1133,Available
Balochistan,Loralai,CFL-370,3018,Available
Balochistan,Khuzdar,HBS-103,3561,Available
Balochistan,Sibi,FIR-760,2167,Available
Balochistan,Loralai,HHE-683,2109,Available
Balochistan,Jacobabad,SRQ-685,2941,Available
Balochistan,Zhob,JJG-982,1550,Available
Balochistan,Jacobabad,KRB-686,2251,Available
Balochistan,Quetta,IBS-102,3844,Available
Balochistan,Gwadar,SPT-423,3084,Available
Balochistan,Gwadar,DDE-597,3958,Available
Balochistan,Jacobabad,NIB-949,2194,Available
Balochistan,Zhob,HTR-380,1898,Available
Balochistan,Loralai,HSF-487,3590,Available
Balochistan,Gwadar,ACR-649,1497,Available
Balochistan,Khuzdar,QPD-336,2825,Available
Balochistan,Hub,FOL-177,3630,Available
Balochistan,Hub,BPF-118,2319,Available
Balochistan,Khuzdar,GRT-478,3974,Available
Balochistan,Loralai,DLI-233,1326,Available
Balochistan,Quetta,BGC-609,2096,Available
Balochistan,Gwadar,RHQ-734,1580,Available
Balochistan,Jacobabad,RAK-171,1373,Available
Balochistan,Loralai,BBC-174,1914,Available
Balochistan,Turbat,GOS-662,3716,Available
Balochistan,Gwadar,PJK-155,3133,Available
Balochistan,Sibi,ITB-899,2137,Available
Balochistan,Sibi,FBP-490,3222,Available
Balochistan,Loralai,DPQ-264,2436,Available
Balochistan,Hub,QNR-997,2340,Available
Balochistan,Quetta,CSR-864,3683,Available
Balochistan,Zhob,IGS-789,2876,Available
Balochistan,Zhob,PBO-142,2269,Available
Balochistan,Jacobabad,QOI-649,3024,Available
Balochistan,Jacobabad,MHP-813,3706,Available
Balochistan,Gwadar,IQQ-636,3811,Available
Balochistan,Quetta,RHJ-469,2852,Available
Balochistan,Sibi,AKF-663,1284,Available
Balochistan,Gwadar,LQS-682,1285,Available
Balochistan,Loralai,MHH-262,1862,Available
Balochistan,Gwadar,BAC-333,1436,Available
Balochistan,Khuzdar,EAH-893,3120,Available
Balochistan,Gwadar,QIS-995,3930,Available
Balochistan,Hub,GBT-272,1953,Available
Balochistan,Hub,DOH-747,3105,Available
Balochistan,Quetta,HBD-973,3080,Available
Balochistan,Sibi,AGG-131,1842,Available
Balochistan,Sibi,DNT-582,2459,Available
Balochistan,Sibi,TSB-289,1342,Available
Balochistan,Sibi,PLI-769,3719,Available
Balochistan,Khuzdar,KBO-448,2582,Available
