Province,City,"Plate Number",Price,Status
Sindh,Sukkur,KBC-514,2113,Available
Sindh,Nawabshah,MKF-155,3613,Available
Sindh,Thatta,LQS-583,1687,Available
Sindh,Karachi,LFQ-935,1183,Available
Sindh,Sukkur,BHS-429,1000,Available
Sindh,Larkana,FAN-498,1285,Available
Sindh,Nawabshah,NPI-170,1628,Available
Sindh,Hyderabad,DPH-558,3662,Available
Sindh,Khairpur,BNK-351,1483,Available
Sindh,Nawabshah,OBG-822,3516,Available
Sindh,Larkana,LIJ-734,1235,Available
Sindh,"Mirpur Khas",ONS-161,1916,Available
Sindh,Larkana,JTD-430,3072,Available
Sindh,Nawabshah,BKA-406,3477,Available
Sindh,Khairpur,LDI-588,1383,Available
Sindh,Sukkur,JEI-715,1198,Available
Sindh,Dadu,JGQ-598,2796,Available
Sindh,"Mirpur Khas",AJA-809,3804,Available
Sindh,Khairpur,CBD-863,3350,Available
Sindh,Larkana,ARD-685,3363,Available
Sindh,Dadu,CBR-991,3687,Available
Sindh,Sukkur,GLD-581,1276,Available
Sindh,"Mirpur Khas",QGG-601,3305,Available
Sindh,Karachi,PTO-392,3655,Available
Sindh,Nawabshah,DGK-332,2928,Available
Sindh,Khairpur,MDA-998,2841,Available
Sindh,Dadu,JEM-785,2338,Available
Sindh,Larkana,LEM-625,2819,Available
Sindh,Nawabshah,BJB-267,1018,Available
Sindh,Khairpur,OMJ-805,2212,Available
Sindh,Karachi,TRD-672,1165,Available
Sindh,Sukkur,IKF-811,3523,Available
Sindh,"Mirpur Khas",TQH-773,3368,Available
Sindh,Khairpur,DGK-393,3906,Available
Sindh,Karachi,KMO-358,2533,Available
Sindh,Dadu,TTM-419,2807,Available
Sindh,Larkana,FSG-727,2580,Available
Sindh,Karachi,QOF-712,1685,Available
Sindh,Larkana,GAA-148,1048,Available
Sindh,Hyderabad,BDL-354,3192,Available
Sindh,Khairpur,LGF-995,1309,Available
Sindh,Thatta,CRJ-374,1527,Available
Sindh,Karachi,OHN-795,2169,Available
Sindh,Thatta,DGO-137,2444,Available
Sindh,Khairpur,TMN-161,1265,Available
Sindh,"Mirpur Khas",HKI-707,1267,Available
Sindh,Nawabshah,NAG-209,1499,Available
Sindh,"Mirpur Khas",SDC-195,3391,Available
Sindh,Hyderabad,CAK-231,4000,Available
Sindh,Khairpur,HCN-618,3856,Available
Sindh,Larkana,ITB-709,1879,Available
Sindh,Khairpur,PSC-878,3163,Available
Sindh,Khairpur,OSC-731,3136,Available
Sindh,Hyderabad,HEO-856,1664,Available
Sindh,Sukkur,JFO-321,1684,Available
Sindh,Thatta,MLI-691,2856,Available
Sindh,Thatta,BKA-499,1683,Available
Sindh,Larkana,DRH-151,2357,Available
Sindh,"Mirpur Khas",BNC-728,2329,Available
Sindh,"Mirpur Khas",QQO-239,3235,Available
Sindh,Sukkur,JJD-631,2668,Available
Sindh,Nawabshah,HMB-423,1468,Available
Sindh,Thatta,OMS-623,3692,Available
Sindh,Karachi,PSS-395,2657,Available
Sindh,Thatta,GCK-802,1766,Available
Sindh,Dadu,ITF-108,2237,Available
Sindh,Dadu,CDB-802,3964,Available
Sindh,Khairpur,RJH-863,3624,Available
Sindh,Nawabshah,LKN-199,1643,Available
Sindh,Khairpur,SAK-551,3988,Available
Sindh,Nawabshah,MPB-911,3065,Available
Sindh,Karachi,POQ-677,1350,Available
Sindh,Thatta,THE-340,4000,Available
Sindh,"Mirpur Khas",LRO-691,2368,Available
Sindh,Sukkur,HCG-648,3757,Available
Sindh,Sukkur,OLE-197,1445,Available
Sindh,Sukkur,FTR-863,2688,Available
Sindh,Larkana,GBG-910,1959,Available
Sindh,Thatta,RET-353,2310,Available
Sindh,Karachi,FJA-830,3761,Available
Sindh,Hyderabad,AGD-238,2064,Available
Sindh,Larkana,NRD-627,2986,Available
Sindh,Dadu,ATL-736,2293,Available
Sindh,Sukkur,EAJ-865,1500,Available
Sindh,Khairpur,LFO-716,3627,Available
Sindh,Dadu,KJF-663,1236,Available
Sindh,Larkana,DPA-511,2160,Available
Sindh,Khairpur,OME-566,2304,Available
Sindh,Khairpur,PTN-182,2675,Available
Sindh,"Mirpur Khas",SJR-306,2468,Available
Sindh,Karachi,SAI-787,1890,Available
Sindh,Hyderabad,BHI-256,1343,Available
Sindh,Sukkur,BIT-597,3688,Available
Sindh,Dadu,PBL-387,3496,Available
Sindh,Larkana,APM-529,3507,Available
Sindh,Khairpur,RKF-639,3570,Available
Sindh,Hyderabad,RIT-320,2821,Available
Sindh,"Mirpur Khas",IEF-529,1803,Available
Sindh,Thatta,DPL-642,3855,Available
Sindh,Dadu,CQC-498,2849,Available
