Province,City,"Plate Number",Price,Status
KPK,Peshawar,GTS-335,1733,Available
KPK,Haripur,KHA-795,2275,Available
KPK,Charsadda,KTE-300,2853,Available
KPK,Swat,RLK-130,1202,Available
KPK,Bannu,BON-926,2143,Available
KPK,Mardan,EKD-928,2178,Available
KPK,Bannu,GFG-516,3753,Available
KPK,Abbottabad,ITD-713,3143,Available
KPK,Peshawar,HCC-346,1345,Available
KPK,Kohat,PQH-268,3954,Available
KPK,Abbottabad,ILD-140,1265,Available
KPK,Abbottabad,PNK-215,1826,Available
KPK,Bannu,RAG-798,2135,Available
KPK,Swat,JCJ-336,2319,Available
KPK,Haripur,GIT-230,1463,Available
KPK,Kohat,MRA-944,3826,Available
KPK,Kohat,INS-678,1424,Available
KPK,Swat,JNN-664,1929,Available
KPK,Swat,EHA-262,2238,Available
KPK,Abbottabad,KKG-825,2815,Available
KPK,Mardan,CIA-802,1010,Available
KPK,"Dera Ismail Khan",INH-727,2503,Available
KPK,Swat,TCS-152,1664,Available
KPK,Abbottabad,JEI-800,2157,Available
KPK,Bannu,QMH-815,2936,Available
KPK,Mardan,KDG-459,1825,Available
KPK,Kohat,EOL-770,1163,Available
KPK,Abbottabad,BNH-902,2789,Available
KPK,Kohat,LJA-536,1982,Available
KPK,Kohat,JKB-799,1508,Available
