Province,City,"Plate Number",Price,Status
Punjab,Faisalabad,JKO-364,2262,Available
Punjab,Rawalpindi,STC-848,3191,Available
Punjab,Sargodha,MPM-107,3446,Available
Punjab,Sargodha,ABK-372,1159,Available
Punjab,Bahawalpur,ICC-667,3310,Available
Punjab,Multan,IKM-574,2885,Available
Punjab,Bahawalpur,EFF-325,1967,Available
Punjab,Gujranwala,KNS-385,2379,Available
Punjab,Rawalpindi,BAS-109,1616,Available
Punjab,Sargodha,LBC-780,1116,Available
Punjab,Bahawalpur,SEJ-981,2764,Available
Punjab,Multan,MJB-436,2543,Available
