Province,City,"Plate Number",Price,Status
Sindh,Hyderabad,MOF-926,2453,Available
Sindh,Karachi,CTL-993,2141,Available
Sindh,Nawabshah,IAQ-874,3409,Available
Sindh,Dadu,AOP-677,1914,Available
Sindh,Larkana,OQN-835,1346,Available
Sindh,Larkana,BSQ-373,1886,Available
Sindh,Sukkur,TDM-430,1887,Available
Sindh,Larkana,TMI-755,3703,Available
Sindh,Khairpur,RKI-188,2315,Available
Sindh,Karachi,HBI-802,3311,Available
Sindh,Nawabshah,FLQ-116,2768,Available
Sindh,Nawabshah,NBR-932,1949,Available
Sindh,Nawabshah,ARN-286,2437,Available
Sindh,Nawabshah,CMN-143,1670,Available
Sindh,Hyderabad,ISI-559,1871,Available
Sindh,Larkana,QRK-373,2549,Available
Sindh,Nawabshah,GIR-582,2495,Available
Punjab,Rawalpindi,PRF-394,2684,Available
Punjab,Rawalpindi,JHM-169,1286,Available
Punjab,Rawalpindi,RQK-238,2184,Available
Punjab,Sargodha,CAJ-339,3544,Available
Punjab,Gujranwala,QOA-311,2272,Available
Punjab,Bahawalpur,PPL-154,3912,Available
Punjab,Bahawalpur,FOE-351,2836,Available
Punjab,Bahawalpur,GOL-397,1004,Available
Punjab,Bahawalpur,BPO-489,2465,Available
Punjab,Sailkot,KDA-150,1093,Available
Punjab,Multan,DFC-623,3187,Available
Punjab,Sargodha,FHP-652,3053,Available
Punjab,Sargodha,GEI-294,1569,Available
Punjab,Bahawalpur,JAK-180,3604,Available
Punjab,Sargodha,FOQ-858,3527,Available
Punjab,Gujranwala,QND-411,1628,Available
Punjab,Rawalpindi,BOI-967,1247,Available
Balochistan,Sibi,FLA-303,3169,Available
Balochistan,Khuzdar,SBM-613,3106,Available
Balochistan,Hub,CKI-939,2543,Available
Balochistan,Zhob,GCA-495,2158,Available
Balochistan,Sibi,ESR-261,1732,Available
Balochistan,Khuzdar,PGT-621,2490,Available
Balochistan,Quetta,ATK-984,2355,Available
Balochistan,Gwadar,RQJ-853,2583,Available
Balochistan,Jacobabad,COD-867,1494,Available
Balochistan,Loralai,MCL-381,2367,Available
Balochistan,Khuzdar,ECH-312,2018,Available
Balochistan,Gwadar,BLC-384,2396,Available
Balochistan,Gwadar,ICP-950,1337,Available
Balochistan,Khuzdar,HMB-545,1517,Available
Balochistan,Loralai,IBH-309,1548,Available
Balochistan,Loralai,DAD-423,3309,Available
Balochistan,Turbat,SMQ-344,3421,Available
KPK,Abbottabad,DND-209,2129,Available
KPK,Haripur,BOF-796,3621,Available
KPK,Kohat,TRC-449,2223,Available
KPK,Charsadda,EAC-505,1940,Available
KPK,Mardan,LRL-475,1009,Available
KPK,Bannu,AJA-478,2440,Available
KPK,Kohat,HGG-640,3627,Available
KPK,Peshawar,TDB-535,2956,Available
KPK,Peshawar,AOB-252,3373,Available
KPK,Kohat,TLC-932,2435,Available
KPK,Kohat,ISJ-791,3049,Available
KPK,"Dera Ismail Khan",RST-276,3100,Available
KPK,Bannu,OGO-529,3876,Available
KPK,Kohat,HQN-796,2300,Available
KPK,Mardan,BGG-924,2024,Available
KPK,Bannu,LDQ-894,2437,Available
KPK,Kohat,JQK-578,2658,Available
