Province,City,"Plate Number",Price,Status
Balochistan,Khuzdar,CMP-250,2199,Available
Balochistan,Jacobabad,LRM-916,1849,Available
Balochistan,Gwadar,EEG-661,2472,Available
Balochistan,Jacobabad,LLB-433,3771,Available
Balochistan,Gwadar,AAB-443,2646,Available
Balochistan,Turbat,JDK-588,1705,Available
Balochistan,Sibi,KEI-701,3729,Available
Balochistan,Zhob,CTA-834,1855,Available
Balochistan,Turbat,RRL-223,1180,Available
Balochistan,Loralai,HDQ-428,1262,Available
Balochistan,Turbat,IBD-155,2326,Available
Balochistan,Turbat,PFD-607,3923,Available
Balochistan,Turbat,GGE-173,1621,Available
Balochistan,Sibi,POO-810,2575,Available
Balochistan,Turbat,LLS-669,2853,Available
Balochistan,Quetta,QGC-501,1880,Available
Balochistan,Quetta,IHS-972,3302,Available
Balochistan,Hub,PNS-449,2642,Available
Balochistan,Hub,BMT-573,3176,Available
Balochistan,Hub,FRC-637,3775,Available
Balochistan,Jacobabad,PRP-619,2850,Available
Balochistan,Loralai,HJN-705,2476,Available
Balochistan,Khuzdar,HGO-797,1582,Available
Balochistan,Turbat,GGH-880,1448,Available
Balochistan,Loralai,GQE-307,1503,Available
Balochistan,Quetta,CPI-906,3547,Available
Balochistan,Gwadar,RND-403,2743,Available
Balochistan,Loralai,MRP-649,2774,Available
Balochistan,Khuzdar,QCO-587,1244,Available
Balochistan,Hub,GKK-752,2443,Available
Balochistan,Turbat,NIR-124,3035,Available
Balochistan,Jacobabad,FER-681,2659,Available
Balochistan,Loralai,AFO-978,1195,Available
Balochistan,Gwadar,FLT-721,2934,Available
Balochistan,Loralai,PDM-100,1989,Available
Balochistan,Hub,ONT-457,2395,Available
Balochistan,Khuzdar,RTH-823,3384,Available
Balochistan,Turbat,GBC-944,3395,Available
Balochistan,Quetta,PMN-519,1455,Available
Balochistan,Sibi,DHC-536,3259,Available
Balochistan,Hub,PEP-670,2485,Available
Balochistan,Loralai,QMS-881,2102,Available
Balochistan,Loralai,DSH-458,2827,Available
Balochistan,Zhob,OQC-500,2809,Available
Balochistan,Turbat,ROS-524,3492,Available
Balochistan,Zhob,BIJ-712,2425,Available
Balochistan,Quetta,BNF-284,2660,Available
Balochistan,Hub,JGI-952,3780,Available
Balochistan,Khuzdar,KBS-782,2053,Available
Balochistan,Gwadar,MJI-849,3859,Available
