Province,City,"Plate Number",Price,Status
Sindh,Karachi,FAH-329,2825,Available
Sindh,Hyderabad,BPR-572,2075,Available
Sindh,Hyderabad,ATQ-397,3116,Available
Sindh,Hyderabad,DDF-814,1442,Available
Sindh,"Mirpur Khas",IHQ-585,3938,Available
Sindh,Khairpur,QJO-416,2232,Available
Sindh,Sukkur,JDI-376,1456,Available
Sindh,"Mirpur Khas",ANR-772,3310,Available
Sindh,Thatta,MPG-342,1715,Available
Sindh,Larkana,FOL-450,2119,Available
Sindh,Hyderabad,ERR-723,1851,Available
Sindh,Karachi,PGE-549,3272,Available
Sindh,Nawabshah,NEL-819,1560,Available
Sindh,Karachi,JTD-637,1518,Available
Sindh,Khairpur,LPC-668,2307,Available
Sindh,Thatta,TJE-246,1749,Available
Sindh,Sukkur,JPA-545,1150,Available
Sindh,Dadu,LSJ-146,2912,Available
Sindh,Dadu,KLT-227,2742,Available
Sindh,"Mirpur Khas",GRT-898,1243,Available
Sindh,Larkana,ICJ-834,2597,Available
Sindh,Nawabshah,SCS-256,3485,Available
Sindh,Nawabshah,IAQ-736,1151,Available
Sindh,Khairpur,IGT-182,2724,Available
Sindh,Dadu,MAP-341,3189,Available
Sindh,"Mirpur Khas",BIL-676,1350,Available
Sindh,Hyderabad,RHM-422,1564,Available
Sindh,Thatta,IKK-610,2448,Available
Sindh,Karachi,LDG-315,3339,Available
Sindh,Sukkur,NAC-511,3235,Available
Sindh,Hyderabad,MTS-649,2396,Available
Sindh,Dadu,LEL-212,3741,Available
Sindh,Khairpur,GSB-180,2020,Available
Sindh,Nawabshah,KTG-932,2736,Available
Sindh,Hyderabad,TMN-448,3045,Available
Sindh,Thatta,LEM-613,1849,Available
Sindh,Nawabshah,QOP-584,2563,Available
Sindh,Sukkur,GTR-604,1636,Available
Sindh,Thatta,ISR-912,3274,Available
Sindh,Khairpur,NON-138,3789,Available
Sindh,Larkana,DNB-919,3242,Available
Sindh,Thatta,GNR-746,1520,Available
Sindh,Larkana,LPK-477,3041,Available
Sindh,Hyderabad,BAA-170,2955,Available
Sindh,Khairpur,NAM-819,1215,Available
Sindh,Hyderabad,STQ-375,1894,Available
Sindh,"Mirpur Khas",IQJ-643,2389,Available
Sindh,"Mirpur Khas",QBJ-154,2885,Available
Sindh,Hyderabad,TGS-566,3026,Available
Sindh,"Mirpur Khas",CGO-951,3486,Available
Sindh,Larkana,KFS-781,1411,Available
Sindh,Larkana,LPE-662,2488,Available
Sindh,Hyderabad,RJQ-112,3617,Available
Sindh,Dadu,FBN-193,1494,Available
Sindh,Nawabshah,EFE-795,1864,Available
Sindh,Hyderabad,DTJ-226,3928,Available
Sindh,Sukkur,EIS-457,3802,Available
Sindh,Larkana,QLG-752,1940,Available
Sindh,Dadu,ARL-315,1965,Available
Sindh,Dadu,AMT-724,2195,Available
Sindh,Larkana,PQF-974,2186,Available
Sindh,Dadu,GOM-325,1009,Available
Sindh,Larkana,DFE-690,1339,Available
Sindh,Larkana,KCB-840,3549,Available
Sindh,Sukkur,KLK-474,1100,Available
Sindh,Thatta,SFI-425,1785,Available
Sindh,Larkana,SOJ-299,3654,Available
Sindh,Thatta,KOS-918,2830,Available
Sindh,Karachi,ROC-111,1614,Available
Sindh,Hyderabad,GTL-944,3816,Available
Sindh,Hyderabad,ACQ-924,3898,Available
Sindh,"Mirpur Khas",KPF-258,3260,Available
Sindh,Khairpur,OEO-156,3950,Available
Sindh,Nawabshah,SQE-416,1122,Available
Sindh,Dadu,NGE-294,2241,Available
Sindh,Hyderabad,QGK-876,1253,Available
Sindh,"Mirpur Khas",OKO-568,3130,Available
Sindh,Nawabshah,BOD-691,1266,Available
Sindh,Larkana,GES-721,2867,Available
Sindh,Karachi,QAM-371,1057,Available
Sindh,Nawabshah,DKD-632,3638,Available
Sindh,Karachi,TAA-621,3292,Available
Sindh,Nawabshah,RJP-140,2919,Available
Sindh,"Mirpur Khas",QOG-955,2396,Available
Sindh,Nawabshah,GQM-654,1242,Available
Sindh,Hyderabad,GGE-826,2188,Available
Sindh,Larkana,SOL-579,2292,Available
Sindh,Khairpur,GEO-575,1551,Available
Sindh,Dadu,BIR-117,1733,Available
