Province,City,"Plate Number",Price,Status
Punjab,Gujranwala,FQL-363,3321,Available
Punjab,Sailkot,GPJ-394,1004,Available
Punjab,Sahiwal,EQB-558,3357,Available
Punjab,Lahore,MCA-842,2061,Available
Punjab,Multan,HRR-972,3483,Available
Punjab,Sahiwal,NCF-824,2646,Available
Punjab,Bahawalpur,TCC-143,3332,Available
Punjab,Bahawalpur,JHL-153,1852,Available
Punjab,Sargodha,FJA-609,1434,Available
Punjab,Sahiwal,TCO-236,2645,Available
Punjab,Sahiwal,OQH-303,2418,Available
Punjab,Rawalpindi,TAD-947,2209,Available
Punjab,Bahawalpur,HMK-663,2510,Available
Punjab,Sargodha,DRE-359,2506,Available
Punjab,Rawalpindi,JQG-195,2885,Available
Punjab,Rawalpindi,ALT-657,2847,Available
Punjab,Sahiwal,DLH-623,2790,Available
Punjab,Multan,QHJ-152,3546,Available
Punjab,Bahawalpur,LFQ-513,3731,Available
Punjab,Multan,HRI-734,3908,Available
Punjab,Sailkot,TBM-311,2454,Available
Punjab,Faisalabad,AJJ-711,3004,Available
Punjab,Sahiwal,KCO-792,2078,Available
Punjab,Sahiwal,LCN-540,3384,Available
Punjab,Rawalpindi,ECJ-489,1605,Available
Punjab,Multan,GJF-987,3321,Available
Punjab,Bahawalpur,IRK-500,1294,Available
Punjab,Bahawalpur,CPO-357,3015,Available
Punjab,Sargodha,HDO-265,3510,Available
Punjab,Multan,CKL-802,1072,Available
Punjab,Rawalpindi,HPB-975,3427,Available
Punjab,Faisalabad,NTT-829,3931,Available
Punjab,Faisalabad,MJL-480,1891,Available
Punjab,Lahore,BHR-269,2998,Available
Punjab,Gujranwala,PSR-595,1026,Available
Punjab,Sahiwal,HPN-183,1189,Available
Punjab,Sailkot,IAT-414,2526,Available
Punjab,Faisalabad,RIJ-523,3761,Available
Punjab,Gujranwala,NLI-177,1599,Available
Punjab,Sahiwal,OIR-741,1027,Available
Punjab,Lahore,IRT-814,2156,Available
Punjab,Sailkot,KDL-961,1683,Available
Punjab,Sailkot,TKM-993,2803,Available
Punjab,Sailkot,GKC-135,2228,Available
Punjab,Sahiwal,DAL-284,2795,Available
Punjab,Sahiwal,HOD-992,2849,Available
Punjab,Gujranwala,RQF-793,2148,Available
Punjab,Gujranwala,QDA-674,1063,Available
Punjab,Gujranwala,SMI-470,2399,Available
Punjab,Sahiwal,CGA-570,1660,Available
Punjab,Sahiwal,BBB-442,2349,Available
Punjab,Rawalpindi,GJR-701,2748,Available
Punjab,Bahawalpur,SOA-506,1426,Available
Punjab,Bahawalpur,KMO-914,2871,Available
Punjab,Bahawalpur,TTF-408,1699,Available
Punjab,Lahore,CAD-690,3064,Available
Punjab,Sahiwal,IPM-271,2799,Available
Punjab,Sailkot,MII-651,2186,Available
Punjab,Multan,HPH-890,1264,Available
Punjab,Faisalabad,PNK-277,3966,Available
Punjab,Sargodha,BQI-395,1880,Available
Punjab,Sailkot,DBQ-732,1250,Available
Punjab,Lahore,FEI-639,3130,Available
Punjab,Bahawalpur,ICF-530,1110,Available
Punjab,Sahiwal,ELF-347,3934,Available
Punjab,Sahiwal,LPI-285,2940,Available
Punjab,Multan,MAB-466,3124,Available
Punjab,Multan,DSK-952,2013,Available
Punjab,Sargodha,CTN-405,1934,Available
Punjab,Gujranwala,JBN-398,3502,Available
Punjab,Sahiwal,OJI-875,3899,Available
Punjab,Sailkot,ETD-644,1910,Available
Punjab,Sargodha,KKJ-746,3253,Available
Punjab,Lahore,PMO-964,3604,Available
Punjab,Bahawalpur,EIF-747,3954,Available
Punjab,Sailkot,KRF-814,2020,Available
Punjab,Multan,ACF-189,3779,Available
Punjab,Gujranwala,QEG-543,1846,Available
Punjab,Sahiwal,QGC-894,3490,Available
Punjab,Rawalpindi,LSP-458,3864,Available
Punjab,Rawalpindi,ASE-654,2844,Available
Punjab,Sargodha,ITC-213,1150,Available
Punjab,Sargodha,AMI-245,3752,Available
Punjab,Bahawalpur,DEJ-561,1073,Available
Punjab,Gujranwala,EKH-184,1182,Available
Punjab,Rawalpindi,DTI-749,3074,Available
Punjab,Lahore,NLP-427,3188,Available
Punjab,Faisalabad,JDI-202,3007,Available
Punjab,Rawalpindi,SIB-272,1206,Available
Punjab,Gujranwala,AMT-890,3042,Available
Punjab,Rawalpindi,DKO-673,3144,Available
Punjab,Faisalabad,DDA-116,2288,Available
Punjab,Sailkot,QCF-663,2518,Available
Punjab,Faisalabad,QGB-481,1279,Available
Punjab,Sahiwal,TGK-567,3113,Available
Punjab,Sargodha,PJS-515,1327,Available
Punjab,Sailkot,LEF-125,2202,Available
Punjab,Lahore,CCN-516,1452,Available
Punjab,Faisalabad,SFG-817,1252,Available
Punjab,Bahawalpur,CPN-250,3241,Available
Punjab,Bahawalpur,FKP-691,1899,Available
Punjab,Rawalpindi,DQT-280,3082,Available
Punjab,Sargodha,BBC-591,3898,Available
Punjab,Bahawalpur,HCP-608,2541,Available
Punjab,Sailkot,QAS-962,3433,Available
Punjab,Bahawalpur,LQG-416,2350,Available
Punjab,Gujranwala,GGS-991,3659,Available
Punjab,Bahawalpur,BIL-407,2275,Available
Punjab,Lahore,MRB-985,1350,Available
Punjab,Sahiwal,CGT-395,3424,Available
