Province,City,"Plate Number",Price,Status
Sindh,Khairpur,BKE-704,3140,Available
Sindh,"Mirpur Khas",EFC-569,2167,Available
Sindh,Hyderabad,OIB-222,2995,Available
Sindh,Dadu,RAD-874,1901,Available
Sindh,Dadu,RKG-412,1849,Available
Sindh,Sukkur,JAT-530,3071,Available
Sindh,"Mirpur Khas",CPK-148,2373,Available
Sindh,Larkana,DPO-358,1532,Available
Sindh,Larkana,FEJ-936,1630,Available
Sindh,Hyderabad,MPP-229,3070,Available
Sindh,Karachi,REN-964,2002,Available
Sindh,Hyderabad,MOQ-157,3779,Available
Sindh,Dadu,LLP-499,2278,Available
Sindh,Thatta,QQP-290,2298,Available
Sindh,Dadu,OGC-854,2775,Available
Sindh,Dadu,LFH-516,2608,Available
Sindh,Karachi,QED-420,3097,Available
Sindh,"Mirpur Khas",TRP-969,1425,Available
Sindh,Dadu,AAC-840,1012,Available
Sindh,Hyderabad,OPB-642,1268,Available
Sindh,Dadu,QFD-789,3573,Available
Sindh,Khairpur,NPP-807,1369,Available
Sindh,Larkana,AHG-651,3795,Available
Sindh,Dadu,GHF-797,2267,Available
Sindh,Thatta,CMM-848,1585,Available
Sindh,"Mirpur Khas",HIQ-847,1508,Available
Sindh,Karachi,CMD-765,2898,Available
Sindh,Thatta,KCH-582,1155,Available
Sindh,Larkana,MSO-957,3610,Available
Sindh,Hyderabad,HTR-347,1242,Available
Sindh,Sukkur,NBF-265,1727,Available
Sindh,"Mirpur Khas",GFJ-846,3149,Available
Sindh,Hyderabad,BIR-320,3971,Available
Sindh,Sukkur,DLT-686,1242,Available
Sindh,Khairpur,QAE-403,2807,Available
Sindh,Hyderabad,FLL-191,2496,Available
Sindh,Hyderabad,REL-394,1512,Available
Sindh,Sukkur,JEG-923,2481,Available
Sindh,Nawabshah,TDN-570,2321,Available
Sindh,Larkana,PKC-937,3580,Available
Sindh,Larkana,AJE-475,3238,Available
Sindh,Nawabshah,BTC-514,3397,Available
Sindh,Hyderabad,SOM-681,3885,Available
Sindh,Khairpur,GEL-863,3186,Available
Sindh,Thatta,CPL-806,1957,Available
Sindh,Nawabshah,JRG-102,2011,Available
Sindh,Larkana,QET-427,1025,Available
Sindh,Hyderabad,QLN-557,1362,Available
Sindh,Nawabshah,KDA-435,1536,Available
Sindh,"Mirpur Khas",TCO-931,1176,Available
Sindh,Hyderabad,PAN-467,1714,Available
Sindh,Larkana,JIN-846,2942,Available
Sindh,Thatta,IIL-379,3486,Available
Sindh,Karachi,FOG-438,2745,Available
Sindh,Hyderabad,ITD-148,3220,Available
Sindh,Sukkur,NIC-706,3192,Available
Sindh,Nawabshah,QCR-668,1737,Available
Sindh,Khairpur,HBB-527,3921,Available
