Province,City,"Plate Number",Price,Status
Balochistan,Loralai,ITI-347,1862,Available
Balochistan,Jacobabad,DLL-101,1810,Available
Balochistan,Khuzdar,CPI-437,3180,Available
Balochistan,Quetta,FFD-402,2600,Available
Balochistan,Gwadar,BIR-148,3415,Available
Balochistan,Gwadar,AQD-541,3767,Available
Balochistan,Sibi,SGL-536,2903,Available
Balochistan,Sibi,JSG-580,1472,Available
Balochistan,Khuzdar,AKM-529,2245,Available
Balochistan,Loralai,DIO-107,1214,Available
Balochistan,Khuzdar,MRR-192,2585,Available
Balochistan,Hub,AFB-900,2372,Available
Balochistan,Khuzdar,RHP-862,2824,Available
Balochistan,Jacobabad,GMM-504,2706,Available
Balochistan,Hub,KGF-622,3188,Available
Balochistan,Khuzdar,FHH-193,1157,Available
Balochistan,Quetta,BQP-728,2132,Available
Balochistan,Turbat,MDL-375,3952,Available
Balochistan,Gwadar,NES-242,2166,Available
Balochistan,Zhob,PEJ-353,3389,Available
Balochistan,Khuzdar,JEJ-378,3453,Available
Balochistan,Zhob,GLK-448,1323,Available
Balochistan,Zhob,PNQ-132,2670,Available
Balochistan,Hub,ODH-514,2734,Available
Balochistan,Hub,CKC-286,3544,Available
Balochistan,Gwadar,CKI-320,2379,Available
Balochistan,Zhob,LPS-162,2128,Available
Balochistan,Gwadar,OLN-405,3011,Available
Balochistan,Khuzdar,RRL-737,3193,Available
Balochistan,Sibi,GCN-825,2164,Available
Balochistan,Sibi,LQP-494,1800,Available
Balochistan,Zhob,OTI-759,3191,Available
Balochistan,Quetta,CTJ-674,2136,Available
Balochistan,Turbat,PFB-685,1509,Available
Balochistan,Gwadar,TPD-678,2747,Available
Balochistan,Quetta,EST-222,1949,Available
Balochistan,Loralai,ODT-829,3383,Available
Balochistan,Turbat,ABF-434,1238,Available
Balochistan,Gwadar,OJC-446,2146,Available
Balochistan,Loralai,PKR-871,2189,Available
Balochistan,Hub,CDE-557,1285,Available
Balochistan,Turbat,QCG-227,2483,Available
Balochistan,Hub,PPT-239,3596,Available
Balochistan,Jacobabad,PMG-592,2563,Available
Balochistan,Loralai,FNC-779,1625,Available
Balochistan,Khuzdar,JLJ-724,2226,Available
Balochistan,Hub,SHC-573,3215,Available
Balochistan,Turbat,OTH-505,3600,Available
Balochistan,Khuzdar,SJQ-928,2254,Available
Balochistan,Hub,SDS-154,3713,Available
Balochistan,Hub,RMA-775,3964,Available
Balochistan,Zhob,GKN-155,3207,Available
Balochistan,Quetta,ALB-868,2960,Available
Balochistan,Zhob,BRH-727,2611,Available
Balochistan,Turbat,GKB-830,2778,Available
Balochistan,Turbat,CMF-469,1523,Available
Balochistan,Jacobabad,KAA-655,3182,Available
Balochistan,Loralai,HCM-445,3365,Available
Balochistan,Zhob,DAO-208,1898,Available
